content,query,date,hashtag
"Dear , Please immediately discard your iPhone. Hundreds of millions have Israeli chips. No more texting because SMS was developed in Israel. No 4G devices; the chipset is Israeli. Sincerely, A Zionist",Zionist,2020-05-04 23:59:25+00:00,"['BDS', 'AntiZionist']"
"Which is why we should advocate for the weakening of Israeli hegemony as well as strengthening our borders and immigration requirements to ensure they can't come here. Supporting Palestinians over Zionists doesn't equate to trying to please all arabs, that's being obtuse.",Zionist,2020-05-04 23:58:37+00:00,[]
Zionist pigs!,Zionist,2020-05-04 23:58:21+00:00,[]
why is the EHRC also a Zionist organisation too? get it into your thick head that racism is the property of the Tory party and that there is not antisemitism in the Labour Party - repeating lie does not make it true,Zionist,2020-05-04 23:58:13+00:00,[]
The Chinese Communists are Zionist?,Zionist,2020-05-04 23:57:45+00:00,[]
You’re obsessed with demonizing Jews. You don’t even try to say Zionist. Seek help.,Zionist,2020-05-04 23:57:32+00:00,[]
me: *opens bird app* book section of bird app: MIDniGHt SuN!! TwiLIGHT!! CanCEL THE ZIOnisT LeiGH BARduGO?!? She aPOLOGIZED!!? do we care?! S&amp;B cast: Mal’s charity &amp; Inej using a buTTERFLY KNIFE? tsc fandom fighting as usual?? everyone canceling everything me: *closes bird app*,Zionist,2020-05-04 23:57:25+00:00,[]
Reason: Zionist scumbags.,Zionist,2020-05-04 23:56:52+00:00,[]
"Literally none of them are Antisemitic. He is pointing out the influence of the pro Israel lobby or Zionists. Many Zionists are not Jewish and many Jews are not Zionists, myself included. The pro Israel lobby is huge because of its strategic importance to the USA in the region",Zionist,2020-05-04 23:55:56+00:00,[]
Florida loves their Zionist!,Zionist,2020-05-04 23:55:52+00:00,[]
"Subramanian Swamy: Zionist Israel &amp; Hindu India must come together against Islamic extrem¡sts In a recent speech, Subramanian Swamy said there is a cl of civilisations internationally, and Zion &amp; Hindutva state of India must come together.",Zionist,2020-05-04 23:55:48+00:00,[]
"Zionist Israel &amp; Hindu India must come together against Islamic extrem¡sts In a recent speech, Subramanian Swamy said there is a cl of civilisations internationally, and Zion &amp; Hindutva state of India must come together.",Zionist,2020-05-04 23:55:10+00:00,[]
"Let’s take a moment to thank Bill Gates, Dr. Fauci, the WHO, Zionist, technocrats and and billionaires who own you and your souls. Fear leads to anger, anger leads to the dark side. Welcome to your new face masks…",Zionist,2020-05-04 23:55:03+00:00,[]
Zionists can suck it,Zionist,2020-05-04 23:52:11+00:00,[]
I wonder whether the anti-Zionist's iPhone has Face ID.,Zionist,2020-05-04 23:51:59+00:00,[]
Jews only Learn when subdued &amp; defeated Like Egyptians Palestinian have to get hold of something very small through Egyptian or Jordanian border &amp; release that all Zionist will go to sleep for ever &amp; Leave Sacred Land stop fighting them with conventional weapons,Zionist,2020-05-04 23:51:56+00:00,[]
They're zionist bootlickers. We're all in constant danger of despotic suppression of our . We're all !,Zionist,2020-05-04 23:51:25+00:00,"['FreedomOfSpeech', 'InSolidarityWithPalestine']"
Ivanka married to Israeli Zionist Jew USA citizen and she converted to his Zionists ideology.,Zionist,2020-05-04 23:50:30+00:00,[]
"Hi All, “Fooled” Christian Zionists DFW's Best",Zionist,2020-05-04 23:49:31+00:00,[]
"This was true back in the 60s and 70s, even into the 80s. The political alliance between US evangelical Christians and Zionists in 80s brought about a shift. Liberals still backed Israel, they couldn't do otherwise, but the religious right became the hard core base of support.",Zionist,2020-05-04 23:47:42+00:00,[]
"You are quoting Robert Fisk the anti-Zionist journalist, who claims to be quoting Manor. You are also forgetting that that number includes the West-Bank and Gaza.",Zionist,2020-05-04 23:44:58+00:00,[]
"""Israel was born out of Jewish terrorism!"" (Sir Gerald Kaufman, raised as a Zionist and an Orthodox Jew).",Zionist,2020-05-04 23:44:24+00:00,[]
"Knock if off with the respect Israelis tweets, massacres are still happening in Palestine, and don’t astonish me with your stupidity saying they have nothing to do with it, zionists are on the SAME land where those bloody massacres are happening",Zionist,2020-05-04 23:44:04+00:00,[]
No. Lenin's conception of Jewish nationality is completely different than the Zionist one. He still saw Zionism as counter-revolutionary.,Zionist,2020-05-04 23:42:39+00:00,[]
"1. I was actually about to provide you links to the sources. 2. A major French Jewish politican, a Zionist leader, and an Israeli historian aren't important figures? You do realize the first guy you mentioned was the leader of a minor Palestinian party.",Zionist,2020-05-04 23:42:06+00:00,[]
Why is missed out of the list? He did so much for Israel too. Have a look at the list. The zionist lobby has more wealth than you and I have clean bathwater in our lives.,Zionist,2020-05-04 23:41:14+00:00,[]
"Zionist wars don't cause millions of mexicans to flood into the US either, but who do you think put the lion's share of the infrastructure in place for them to stay and escape removal?",Zionist,2020-05-04 23:40:42+00:00,[]
Yess !! Zionists live between us!!,Zionist,2020-05-04 23:38:32+00:00,[]
We don't reply mongers of fake Ids. Do you konw Modi entry to America was banned for long period. You Zionist.,Zionist,2020-05-04 23:38:22+00:00,[]
You're Zionist subjects dancing on their tone. No American can undone the laws favouring israel.,Zionist,2020-05-04 23:38:17+00:00,[]
How Zionist Israel is Robbing America Blind! (video) - Jake Morphonios,Zionist,2020-05-04 23:37:04+00:00,[]
"But not every jew is a zionist i personally know some who support palestine as well this is why we need to set a difference. And muslims only fight those who try to harm us and steal our land,and we know our enemies they are not the jews.",Zionist,2020-05-04 23:35:26+00:00,[]
May Allah Grant Them Father and Son Both Jannah their only Crime was being Palestinian Nazi Zionists From Hell,Zionist,2020-05-04 23:33:55+00:00,[]
Nazi-Zionist Connection &amp; – The Final Solution to Adolph Hilter,Zionist,2020-05-04 23:33:21+00:00,[]
Why do you think they're in the West in the first place? Zionist wars displace them so that they can come and replace us. The cycle must be broken.,Zionist,2020-05-04 23:32:02+00:00,[]
"De Benoist has many allies on the anti-liberal far left (particularly Telos). He's endeared himself to the far left with his anti-US and anti-Zionist views and to the far right with his concept of ""ethno-differentialism."" Would feel quite at home with some of Corbyn's friends.",Zionist,2020-05-04 23:31:30+00:00,[]
"It's part of the ongoing attacks upon anti zionist / bds activism , and the lebanese and Palestinian refugee population there..",Zionist,2020-05-04 23:31:14+00:00,[]
"Zionists are exiles returning to the land of Zion &amp; supporters, many are Jews. During Mandate, before Israel, Jews and Arabs were called Palestinians. Brits ruled, used Muslims to kill Jews inside mandate/1",Zionist,2020-05-04 23:30:26+00:00,[]
Not every arab is a muslim and not every jew is a zionist use the right terms,Zionist,2020-05-04 23:30:06+00:00,[]
Isn't the world's hatred of Zionism a lesson for the Indian government? Good service to Zionist tyrants has no end,Zionist,2020-05-04 23:25:58+00:00,['savekashmir']
"What on earth are you on about? I support Williamson. He was smeared by those RLB panders to. I was referring to your wish to see me leave the party because I oppose Zionist ethnic nationalism and those who support it, on entirely anti-racist grounds.",Zionist,2020-05-04 23:25:23+00:00,[]
"Luv, Bush is bin juice, He conceived 9/11 along with his zionist cronies. A president killing his own people, to start a war.",Zionist,2020-05-04 23:24:27+00:00,[]
What are you doing about this UN? Are you waiting for a real blow up? There is only so much people can take from these Sick Zionist Jews. Send in UN troops.,Zionist,2020-05-04 23:24:05+00:00,[]
For AZM created a Zionist Youth Emergency Fund and we need your support in connecting American Jews to their and to by donating here:,Zionist,2020-05-04 23:21:25+00:00,"['givingtuesdaynow', 'heritage', 'Israel']"
"Our biggest fans this week: JoyceBruns, a_zionist, JunkoPatsye. Thank you! via",Zionist,2020-05-04 23:20:42+00:00,[]
You write “Zionist” as if that’s somehow a bad thing.,Zionist,2020-05-04 23:19:34+00:00,[]
"You must understand why people research ideologies? Don’t you? Perhaps not, if you did you surely wouldn’t support the Islamist agenda so readily. They won’t spare you because you are ‘corbyn’ / ‘anti Zionist’. Iran/Hamas would kill you. Israel and IDF would protect you.",Zionist,2020-05-04 23:19:21+00:00,[]
"Until Jews change their ways, I support making the Zionist project as difficult and expensive as possible.",Zionist,2020-05-04 23:19:12+00:00,[]
"Anybody who doesen't stand by the palestinian cause is just a neocon zionist shill, anything that pisses of the j**s is good for us",Zionist,2020-05-04 23:17:24+00:00,[]
"Both the Jewish Telegraphic Agency and Jewish Transcript reported in September and December respectively that Nahum Sokolow, Secretary General of the World Zionist Congress, openly stated, “Hitlerism enables us to convert all Jews to Zionism.” Nazism was bankrolled by the West.",Zionist,2020-05-04 23:17:20+00:00,[]
The point is that no Zionist has any moral ground to attack anybody over any association with farrahkhan. And nearly everybody that does attack Sarsour on those grounds are really just upset about her on point criticisms of Zionism virulent and murderous ideology,Zionist,2020-09-13 23:59:49+00:00,[]
"I mean, I believe &amp; feel great empathy for Palestinians who suffered in 1948 but then someone starts misrepresenting 'my' side as genocidal baby killers or whatever &amp; I react to that. Also to people who say MENA Jews were Zionist economic migrants or similar.",Zionist,2020-09-13 23:59:26+00:00,[]
some Jewish man put me on a kill list to stab to death for noticing Zionist plots but I still think Nazism is a horrible ideology.,Zionist,2020-09-13 23:58:28+00:00,[]
"We wouldn't be in the ME if it weren't for oil. You may think Zionist Christians, and Jews, have that much pull in government. They don't.",Zionist,2020-09-13 23:58:09+00:00,[]
